Название	x	y	h
P339 	64876,678	56579,193	142,9
P34 	68142,763	56532,486	143,9
P340 	64952,42	56575,851	142,7
P341 	65091,562	56388,246	143,8
P342 	65060,74	56571,731	142,1
P343 	65165,146	56433,683	143,7
P344 	64885,777	56552,947	142,9
P345 	65184,352	56437,679	143,2
P346 	65278,687	56408,862	142,5
P347 	64945,154	56448,867	143,3
P348 	64987,373	56350,019	143,9
P349 	65394,279	56332,082	141,6
P35 	68130,228	56521,293	143,7
P350 	65051,737	56379,281	143,7
P351 	65438,73	56245,863	141,6
P352 	65253,149	56178,514	147,8
P353 	65016,129	56318,973	144,0
P354 	65434,094	56160,229	142,2
P355 	65008,568	56306,268	148,0
P356 	65428,257	56154,008	142,6
P357 	65238,743	56177,169	143,3
P358 	65392,111	56108,726	142,6
P359 	65193,01	56124,072	142,8
P36 	68111,774	56996,048	142,5
P360 	65345,226	56162,051	143,0
P361 	65332,585	56261,204	143,1
P362 	65340,049	55955,041	142,4
P363 	65224,805	56303,065	143,1
P364 	65313,92	55966,809	148,6
P365 	65291,397	56037,903	143,1
P366 	65115,806	56348,087	143,6
P367 	65246,636	56156,715	143,0
P368 	65538,791	55718,265	146,9
P369 	65636,996	55639,759	143,5
P37 	68106,975	56954,469	139,5
P370 	65682,61	55689,754	144,0
P371 	65697,492	55693,068	145,9
P372 	65465,414	56032,02	142,4
P373 	65411,592	55988,361	142,4
P374 	65508,265	56068,737	142,6
P375 	65628,864	55625,806	148,0
P376 	65357,973	55944,653	142,8
P377 	65533,612	55998,998	142,4
P378 	65731,618	55517,017	148,3
P379 	65581,723	55922,284	142,4
P38 	68112,733	56437,641	142,9
P380 	65494,343	55844,454	143,2
P381 	65764,009	55533,797	143,2
P382 	65656,607	55900,352	142,7
P383 	65787,71	55576,251	143,0
P384 	65580,838	55695,646	143,3
P385 	65802,508	55578,05	145,2
P386 	65639,278	55740,982	142,9
P387 	65753,803	55784,975	143,0
P388 	65767,802	55776,067	143,4
P389 	65783,274	55769,992	143,7
P39 	68060,432	56301,41	142,9
P390 	65882,719	55523,51	143,0
P391 	65736,619	55830,689	143,1
P392 	65696,255	55920,694	142,7
P393 	65862,358	55694,487	142,7
P394 	66007,786	55571,062	142,5
P395 	65786,784	55972,038	142,2
P396 	65920,679	55647,837	142,3
P397 	66078,444	55584,187	142,0
P398 	65895,404	56026,934	141,4
P399 	66191,05	55585,498	141,3
P4 	67982,706	57378,495	141,5
P40 	68137,763	56920,197	139,7
P400 	65973,04	55770,767	141,5
P401 	66006,149	56082,816	140,6
